Data (bytes)	Time (s)
95760	2.000564
92736	2.000533
94752	2.000545
94752	2.000537
93744	2.000633
95760	2.000542
93744	2.000724
94752	2.000584
94752	2.000599
93744	2.000609
94752	2.000538
94752	2.000525
94752	2.000535
94752	2.000616
93744	2.000836
