PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=1.49 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=2.78 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=1.83 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=1.78 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=1.27 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=1.24 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 6 received, 60% packet loss, time 14017ms
rtt min/avg/max/mdev = 1.248/1.736/2.785/0.519 ms
