Data (bytes)	Time (ms)
768888	2.000425
799296	2.000409
650152	2.000414
467704	2.000386
140456	2.000507
243264	2.000433
260640	2.000459
315664	2.000407
159280	2.000470
262088	2.000395
179552	2.000403
679112	2.000381
192584	2.000397
729792	2.000484
622640	2.000391
