PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=1.10 ms
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=0.919 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=1.15 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=1.02 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=1.04 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=0.987 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=1.00 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=0.921 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=0.929 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=0.953 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=0.939 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 11 received, 26% packet loss, time 14021ms
rtt min/avg/max/mdev = 0.919/0.997/1.155/0.082 ms
