PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=1.75 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=1.64 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=917 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=1.68 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=1.78 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=1.63 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=1.70 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=1.63 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=2.04 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=1.63 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=1.60 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=1.63 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 12 received, 20% packet loss, time 14026ms
rtt min/avg/max/mdev = 1.607/77.996/917.192/253.027 ms
