Data (bytes)	Time (ms)
3992136	2.000566
4299112	2.000432
2074984	2.000471
1536328	2.000421
2103944	2.000533
3114648	2.000444
4455496	2.000709
2114080	2.000965
4509072	2.000373
2147384	2.000469
4494592	2.000504
4401920	2.000430
4582920	2.000486
2172000	2.000437
4561200	2.000414
