PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=1.41 ms
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=1.01 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=1.20 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=1.08 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=1.20 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=4.85 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=1.34 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=1.34 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=1.31 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=1.27 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=1.25 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=1.27 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=1.29 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 13 received, 13% packet loss, time 14028ms
rtt min/avg/max/mdev = 1.013/1.530/4.856/0.966 ms
