PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=0.817 ms
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=0.780 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=0.715 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=598 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=3.88 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=0.791 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=0.674 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=0.698 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=0.647 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=0.700 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=0.649 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=0.632 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 12 received, 20% packet loss, time 14018ms
rtt min/avg/max/mdev = 0.632/50.801/598.628/165.178 ms
