Data (bytes)	Time (ms)
2322592	2.000418
787712	2.000402
2518072	2.000405
1114960	2.000464
2402232	2.000508
967264	2.000458
1882400	2.000479
2659976	2.000400
1110616	2.000422
2322592	2.000422
2468840	2.000399
831152	2.000421
851424	2.000411
2334176	2.000408
975952	2.000436
