Data (bytes)	Time (ms)
47784	2.000523
57920	2.000491
111496	2.000468
1448	2.000499
1448	2.000506
0	2.000489
56472	2.000499
24616	2.000508
18824	2.000512
7240	2.000474
27512	2.000499
11584	2.000512
1448	2.000484
94120	2.000501
34752	2.000483
