PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=1.48 ms
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=1.35 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=1.35 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=2.35 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=1.35 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=1.37 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=1.37 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=1.33 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=3.50 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=1.34 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=1.34 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=1.38 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 12 received, 20% packet loss, time 14021ms
rtt min/avg/max/mdev = 1.339/1.631/3.509/0.630 ms
