PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=0.864 ms
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=0.762 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=0.781 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=0.735 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=0.849 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=0.767 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=0.768 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=0.656 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=0.738 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=0.700 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=0.754 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=0.603 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=0.999 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 13 received, 13% packet loss, time 14022ms
rtt min/avg/max/mdev = 0.603/0.767/0.999/0.097 ms
