PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=3.03 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=3.04 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=3.01 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=3.72 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=4.68 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=14.6 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=15.8 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=3.02 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=9.58 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=2.66 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=560 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=5.55 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 12 received, 20% packet loss, time 14021ms
rtt min/avg/max/mdev = 2.669/52.487/560.956/153.373 ms
