PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=17.3 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=8.32 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=9.42 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=3.10 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=10.8 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=4.37 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=16.2 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=6.88 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=3.13 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 9 received, 40% packet loss, time 14039ms
rtt min/avg/max/mdev = 3.109/8.851/17.354/4.955 ms
