PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=5.69 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=5.57 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=10.7 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=2.99 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=11.1 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=5.34 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=14.3 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=4.43 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=6.97 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=3.00 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 10 received, 33% packet loss, time 14025ms
rtt min/avg/max/mdev = 2.991/7.021/14.340/3.606 ms
