PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=7.37 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=3.06 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=6.89 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=4.30 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=6.89 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=710 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=6.58 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=9.85 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=8.21 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=2.93 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=4.78 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 11 received, 26% packet loss, time 14031ms
rtt min/avg/max/mdev = 2.939/70.140/710.637/202.553 ms
