PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=8.04 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=4.77 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=4.27 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=8.83 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=2.99 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=3.03 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=12.7 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=11.1 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=2.96 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=5.76 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 10 received, 33% packet loss, time 14049ms
rtt min/avg/max/mdev = 2.961/6.458/12.794/3.377 ms
