PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=1.03 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=1.03 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=1.88 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=1.83 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=1.57 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=0.970 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=0.988 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=1.14 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=0.910 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=0.970 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=2.34 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 11 received, 26% packet loss, time 14028ms
rtt min/avg/max/mdev = 0.910/1.336/2.349/0.469 ms
