PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=1.15 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=1.03 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=1.30 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=1.28 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=1.55 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=1.06 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=1.02 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=0.802 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=0.945 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=0.929 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=0.938 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=0.928 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 12 received, 20% packet loss, time 14027ms
rtt min/avg/max/mdev = 0.802/1.080/1.555/0.202 ms
