Data (bytes)	Time (ms)
13032	2.000409
98464	2.000398
10136	2.000443
21720	2.000528
7240	2.000455
17376	2.000444
1448	2.000445
52128	2.000412
0	2.000426
14480	2.000446
2896	2.000483
44888	2.000403
1448	2.000430
11584	2.000459
23168	2.000481
