Data (bytes)	Time (ms)
777576	2.000410
230232	2.000385
993328	2.000393
276568	2.000420
185344	2.000390
280912	2.000401
259192	2.000435
1905568	2.000410
375032	2.000473
502456	2.000428
1291616	2.000404
1191704	2.000485
1264104	2.000422
1452344	2.000400
330144	2.000476
