PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=1001 ms
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=1.30 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=1.88 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=1.31 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=1091 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=91.0 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=930 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=1.72 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=1.35 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=2.84 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=1.39 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=1.30 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=1.33 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=1.40 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 14 received, 6% packet loss, time 14022ms
rtt min/avg/max/mdev = 1.301/223.561/1091.100/411.244 ms, pipe 2
