Data (bytes)	Time (ms)
1721672	2.000446
3420176	2.000423
1830272	2.000427
3399904	2.000419
1320576	2.000428
3483888	2.000340
1350984	2.000312
4051504	2.000402
1330712	2.001938
3822720	2.000426
3152296	2.000441
3580904	2.000412
1886744	2.000435
3579456	2.000417
1689816	2.000385
