Data (bytes)	Time (ms)
2269016	2.000349
3281168	2.000366
1954800	2.000425
4396128	2.000373
1823032	2.000441
1280032	2.000504
1362568	2.000462
3869056	2.000403
1930184	2.000460
3368048	2.000341
2383408	2.000501
3431760	2.000458
3902360	2.001376
2287840	2.000471
3798104	2.000423
