Data (bytes)	Time (ms)
33304	2.000421
7240	2.000436
8688	2.000455
46336	2.000413
228784	2.000502
249056	2.000496
237472	2.000467
259192	2.000421
101360	2.000412
259192	2.000396
189688	2.000645
295392	2.000506
62264	2.000433
154936	2.000392
62264	2.000433
