PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=1.13 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=1.03 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=0.945 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=0.968 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=0.889 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=0.930 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=0.711 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=0.963 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=0.985 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=0.904 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=0.936 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 11 received, 26% packet loss, time 14023ms
rtt min/avg/max/mdev = 0.711/0.945/1.139/0.104 ms
