PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=4.36 ms
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=6.86 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=4.35 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=17.4 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=6.70 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=4.36 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=6.71 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 7 received, 53% packet loss, time 14026ms
rtt min/avg/max/mdev = 4.350/7.260/17.474/4.316 ms
