PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=1.88 ms
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=2.22 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=4.30 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=1.67 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=1.74 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=7.63 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=2.25 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=1214 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=3.65 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=2.31 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=2.23 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=2.21 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=3.59 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 13 received, 13% packet loss, time 14021ms
rtt min/avg/max/mdev = 1.678/96.148/1214.200/322.757 ms, pipe 2
