PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=13.3 ms
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=3.05 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=4.32 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=7.65 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=12.0 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=4.26 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=9.82 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=2.95 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=3.10 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=3.02 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=5.27 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=4.06 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 12 received, 20% packet loss, time 14025ms
rtt min/avg/max/mdev = 2.952/6.077/13.324/3.571 ms
