PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=5.88 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=20.9 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=7.07 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=5.32 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=4.40 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=5.55 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=6.71 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 7 received, 53% packet loss, time 14037ms
rtt min/avg/max/mdev = 4.400/7.982/20.930/5.349 ms
