PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=0.873 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=0.701 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=0.679 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=0.814 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=0.721 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=0.944 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=1.22 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=1.14 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=1.06 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=0.824 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=0.968 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=0.856 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 12 received, 20% packet loss, time 14022ms
rtt min/avg/max/mdev = 0.679/0.901/1.223/0.167 ms
