PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=2.78 ms
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=2.23 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=2.14 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=2.20 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=2.03 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=2.45 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=1.86 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=1.36 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=1.33 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=1.37 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=1.35 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=1.36 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 12 received, 20% packet loss, time 14027ms
rtt min/avg/max/mdev = 1.336/1.876/2.786/0.486 ms
