PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=3.03 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=5.67 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=3.09 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=3.02 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=1159 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=159 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=4.31 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=3.00 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=4.24 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=5.62 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=13.8 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=3.02 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 12 received, 20% packet loss, time 14038ms
rtt min/avg/max/mdev = 3.005/113.998/1159.920/318.215 ms, pipe 2
