PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=10.8 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=4.27 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=10.8 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=8.12 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=7.13 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=15.8 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=19.1 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=7.22 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 8 received, 46% packet loss, time 14018ms
rtt min/avg/max/mdev = 4.271/10.441/19.146/4.615 ms
