PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=5.60 ms
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=10.7 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=4.00 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=2.97 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=4.35 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=10.6 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=3.01 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=3.97 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=3.58 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=4.09 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 10 received, 33% packet loss, time 14028ms
rtt min/avg/max/mdev = 2.974/5.302/10.778/2.794 ms
