PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=4.48 ms
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=3.06 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=3.06 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=5.59 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=4.30 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=2.98 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=4.05 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=12.9 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=4.29 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 9 received, 40% packet loss, time 14030ms
rtt min/avg/max/mdev = 2.987/4.972/12.910/2.918 ms
