PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=5.07 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=11.6 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=7.21 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=14.5 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=2.95 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=8.63 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=15.8 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=3.08 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 8 received, 46% packet loss, time 14040ms
rtt min/avg/max/mdev = 2.957/8.633/15.835/4.669 ms
