PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=1.43 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=2.61 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=1.42 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=1.39 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=1.41 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=1.35 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=1.43 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=1.44 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=1.40 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=1.46 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=1.18 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 11 received, 26% packet loss, time 14026ms
rtt min/avg/max/mdev = 1.183/1.506/2.615/0.359 ms
