PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=3.99 ms
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=2.17 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=3.13 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=2.62 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=5.11 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=2.83 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=3.85 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=3.05 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=3.88 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=3.42 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=2.53 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=2.58 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 12 received, 20% packet loss, time 14024ms
rtt min/avg/max/mdev = 2.176/3.268/5.119/0.795 ms
