Data (bytes)	Time (ms)
2633912	2.000427
1953352	2.000434
2661424	2.000404
1213424	2.000452
2675904	2.000357
2725136	2.000409
1639136	2.000456
1697056	2.000406
2509384	2.000405
1197496	2.000457
