PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=3.13 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=3.03 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=3.00 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=4.24 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=3.04 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=2.94 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=6.81 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=3.23 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=4.15 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=4.36 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 10 received, 33% packet loss, time 14023ms
rtt min/avg/max/mdev = 2.949/3.797/6.813/1.141 ms
